Frame,x1,y1,x2,y2,Confidence
57,0,75,1891,985,0.7818933725357056
58,0,68,1895,986,0.8058895468711853
59,0,64,1897,986,0.829251766204834
60,0,51,1900,992,0.7582635283470154
61,1576,70,1919,982,0.25608012080192566
62,1585,61,1920,989,0.2633943259716034
63,1593,54,1920,995,0.40001097321510315
63,1394,50,1920,997,0.34814026951789856
64,1592,48,1920,994,0.47319623827934265
64,1379,45,1920,996,0.4537995457649231
65,1601,45,1920,995,0.549636960029602
65,1426,43,1920,998,0.4275038540363312
66,0,76,1897,1047,0.7769675850868225
67,0,86,1893,1058,0.9116391539573669
68,1343,76,1920,1024,0.5076761245727539
69,1351,72,1920,1025,0.3843023478984833
69,1563,74,1919,1025,0.37200936675071716
370,10,539,1873,1061,0.3524610996246338
372,0,63,1890,1013,0.8730560541152954
373,0,97,1893,1065,0.8211936354637146
374,0,76,1897,1047,0.7770144939422607
375,0,76,1897,1047,0.7770144939422607
376,0,76,1897,1047,0.7770144939422607
377,0,76,1897,1047,0.7770144939422607
378,0,76,1897,1047,0.7769675850868225
379,0,108,1895,1072,0.8312973380088806
380,0,108,1895,1072,0.8154838681221008
381,0,108,1893,1071,0.8717449307441711
382,0,105,1893,1065,0.8853804469108582
383,0,98,1891,1061,0.8959298133850098
384,0,94,1890,1057,0.901339590549469
385,0,71,1891,1010,0.8247050046920776
386,0,73,1890,1013,0.8299895524978638
387,0,67,1893,1011,0.8270395994186401
388,0,67,1894,1012,0.8122944831848145
389,0,67,1894,1010,0.8094489574432373
390,0,65,1895,1009,0.8435459136962891
391,0,64,1894,1013,0.8408188819885254
392,0,69,1893,1012,0.825846791267395
393,0,72,1892,1012,0.8419263362884521
394,0,74,1892,1012,0.8374723792076111
395,0,73,1891,1028,0.842799723148346
396,0,80,1890,1028,0.8207651972770691
397,4,82,1880,1030,0.8195247650146484
398,0,73,1891,1031,0.8240036964416504
399,0,96,1891,1057,0.8389800786972046
400,0,95,1891,1057,0.8387401700019836
401,0,100,1892,1061,0.858430027961731
402,0,98,1892,1064,0.8916218876838684
403,0,99,1893,1066,0.8924630880355835
404,0,100,1893,1067,0.8713405132293701
405,0,100,1894,1068,0.8607650399208069
406,0,99,1894,1068,0.8439873456954956
407,0,77,1896,1048,0.8113215565681458
408,0,77,1897,1047,0.8080703020095825
409,0,77,1897,1048,0.7816146612167358
410,0,76,1897,1047,0.7768951654434204
411,0,76,1897,1047,0.7770499587059021
412,0,76,1897,1047,0.7770499587059021
413,0,76,1897,1047,0.7770499587059021
414,0,76,1897,1047,0.7769675850868225
415,0,76,1897,1047,0.7769675850868225
416,0,76,1897,1047,0.7769675850868225
417,0,76,1897,1047,0.7769675850868225
418,0,76,1897,1047,0.7769675850868225
419,0,76,1897,1047,0.7769675850868225
420,0,76,1897,1047,0.7769675850868225
421,0,76,1897,1047,0.7769675850868225
422,0,76,1897,1047,0.7769675850868225
423,1581,79,1919,1021,0.30507221817970276
423,1346,74,1920,1006,0.2683664560317993
424,1580,79,1919,1021,0.30176636576652527
424,1346,74,1920,1006,0.2667166292667389
425,1581,79,1919,1021,0.28460466861724854
425,1347,74,1920,1006,0.2546387314796448
426,1582,79,1919,1021,0.2827189266681671
